matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 3.087283435 3.2884811435 3.30172887837 3.589697452
sprand_sdd!/1e7 10000000 10000000 49984105 35.093872015 36.9532118545 36.75155462356 38.100383611
Bourchtein/atmosmodd 1270432 1270432 8814880 2.9687957 3.1745065205 3.18796433879 3.756463384
Sandia/ASIC_680ks 682712 682712 2329176 1.097342126 1.2563885595 1.2661032281300002 1.549878991
Freescale/circuit5M_dc 3523317 3523317 19194193 6.586196697 7.1258387305 7.12963971899 8.091046709
Janna/CoupCons3D 416800 416800 22322336 30.084215803 31.4060727475 31.34889427633 33.904425159
Fluorem/RM07R 381689 381689 37464962 201.535687744 216.42797482 217.91484225445 239.497907107
Martin/marine1 400320 400320 6226538 3.647529655 4.005938351 4.01989344851 4.405658133
CEMW/tmt_unsym 917825 917825 4584801 1.470903798 1.568453035 1.57639308916 1.849106157
VLSI/vas_stokes_1M 1090664 1090664 34767207 242.508905148 250.781361152 252.86628394522 279.34427915
