matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 1.482542714 1.524282348 1.5245243345 1.572221185
sprand_sdd!/1e7 10000000 10000000 49984105 19.714301025 20.095645292 20.14190771295 21.192261079
Bourchtein/atmosmodd 1270432 1270432 8814880 2.805181057 2.886344498 2.8816326878400003 2.934140797
Sandia/ASIC_680ks 682712 682712 2329176 1.424745293 1.4392519675 1.4408134336199998 1.477012013
Freescale/circuit5M_dc 3523317 3523317 19194193 9.399160127 9.5309813735 9.53069467744 9.596449904
Janna/CoupCons3D 416800 416800 22322336 4.148161183 4.170430692 4.2017502339099995 4.399946399
Fluorem/RM07R 381689 381689 37464962 7.034282226 7.3421613825 7.41355412701 8.24678784
Martin/marine1 400320 400320 6226538 1.336424151 1.376920735 1.38732647205 1.507186391
CEMW/tmt_unsym 917825 917825 4584801 1.335992177 1.4316334105 1.4256478276400002 1.469550994
VLSI/vas_stokes_1M 1090664 1090664 34767207 12.614424478 12.7479444575 12.76774563995 12.953097024
