matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 3.070097644 3.451275948 3.4432499424499996 3.646394396
sprand_sdd!/1e7 10000000 10000000 49984105 36.976516542 38.9531304445 38.68052757315 39.733790584
Bourchtein/atmosmodd 1270432 1270432 8814880 3.058785724 3.218988078 3.24278138708 3.557674098
Sandia/ASIC_680ks 682712 682712 2329176 1.137804324 1.3517242495 1.35454545889 1.547800268
Freescale/circuit5M_dc 3523317 3523317 19194193 6.847690345 7.4851396675 7.46539835771 8.334289648
Janna/CoupCons3D 416800 416800 22322336 30.098269099 31.254628432 31.33357917257 33.602887867
Fluorem/RM07R 381689 381689 37464962 208.395681869 217.096063457 218.02717317461 234.171588082
Martin/marine1 400320 400320 6226538 3.63805701 3.928244133 3.91611153846 4.204339665
CEMW/tmt_unsym 917825 917825 4584801 1.457150806 1.5887886045 1.58540763854 1.780096996
VLSI/vas_stokes_1M 1090664 1090664 34767207 244.017926948 255.597155765 260.76450797782996 297.431216229
