matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 3.31276722 3.480862885 3.5001332122399997 3.77062747
sprand_sdd!/1e7 10000000 10000000 49984105 37.43086358 39.218861536 38.99714418715 40.295462611
Bourchtein/atmosmodd 1270432 1270432 8814880 3.069910642 3.2403363595 3.25977461541 3.578477534
Sandia/ASIC_680ks 682712 682712 2329176 1.110103176 1.31231676 1.31137760809 1.589520354
Freescale/circuit5M_dc 3523317 3523317 19194193 6.988874155 7.482012745 7.4750465772700005 8.134283842
Janna/CoupCons3D 416800 416800 22322336 31.304310997 32.451678604 32.59476518905 35.588155768
Fluorem/RM07R 381689 381689 37464962 213.477402754 222.831119575 223.45341477335998 238.647236121
Martin/marine1 400320 400320 6226538 3.747419274 3.907139661 3.9418114467399996 4.323777945
CEMW/tmt_unsym 917825 917825 4584801 1.428166619 1.6008900355 1.59716573207 1.875676462
VLSI/vas_stokes_1M 1090664 1090664 34767207 246.013227039 254.8260143865 256.72206859082996 279.135477302
