matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 2.152829725 2.1916458175 2.22741164477 2.397106109
sprand_sdd!/1e7 10000000 10000000 49984105 29.904704153 30.7666957955 31.25847994653 32.98466946
Bourchtein/atmosmodd 1270432 1270432 8814880 3.926698892 4.1123377085 4.09269720769 4.250894154
Sandia/ASIC_680ks 682712 682712 2329176 1.712007581 1.9988597565 1.9820540594 2.051362183
Freescale/circuit5M_dc 3523317 3523317 19194193 13.572281734 13.8153796335 13.88016715703 14.641843915
Janna/CoupCons3D 416800 416800 22322336 6.227850355 6.947178071 7.04710988116 8.080337947
Fluorem/RM07R 381689 381689 37464962 12.981086184 13.4695449545 13.49508045898 14.532578565
Martin/marine1 400320 400320 6226538 2.18997097 2.2242755785 2.23696449492 2.390978238
CEMW/tmt_unsym 917825 917825 4584801 1.799888123 1.8811818095 1.87792113405 1.939048137
VLSI/vas_stokes_1M 1090664 1090664 34767207 18.610570235 18.8765201795 18.87061884093 19.133493549
