matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 1.332843115 1.3844640005 1.38464972798 1.469199531
sprand_sdd!/1e7 10000000 10000000 49984105 14.166008709 15.6509150215 15.60393975399 16.495846294
Bourchtein/atmosmodd 1270432 1270432 8814880 2.687846463 2.785030698 2.7913745088499997 3.757382043
Sandia/ASIC_680ks 682712 682712 2329176 1.281593862 1.328752105 1.3289907269 1.394201368
Freescale/circuit5M_dc 3523317 3523317 19194193 7.336665525 7.666518969 7.66923477648 8.256314442
Janna/CoupCons3D 416800 416800 22322336 2.277933981 2.6546390405 2.6468099179099998 3.160591953
Fluorem/RM07R 381689 381689 37464962 5.601067449 6.2705806935 6.23822706766 6.752175707
Martin/marine1 400320 400320 6226538 1.049922901 1.1878337115 1.1936229148800002 1.372276245
CEMW/tmt_unsym 917825 917825 4584801 1.16706753 1.2466681085 1.24765792579 1.32895797
VLSI/vas_stokes_1M 1090664 1090664 34767207 8.494094997 9.214079637 9.18882441444 10.236641518
