matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4995009 1.275582921 1.341618536 1.33881627719 1.391767702
sprand_sdd!/1e7 10000000 10000000 49984045 14.030962835 14.5642520855 14.535622101540001 14.991982583
Bourchtein/atmosmodd 1270432 1270432 8814880 1.717488204 1.7947120955 1.79684596668 1.937753581
Sandia/ASIC_680ks 682712 682712 2329176 0.733426998 0.8097923295 0.81294191135 0.881135615
Freescale/circuit5M_dc 3523317 3523317 19194193 4.952439664 5.133921764 5.112332158189999 5.176876603
Janna/CoupCons3D 416800 416800 22322336 0.748234958 0.8632507155 0.8483371663 0.987023082
Fluorem/RM07R 381689 381689 37464962 0.858612961 0.9116540205 0.94627705436 1.289029654
Martin/marine1 400320 400320 6226538 0.468162831 0.5150737235 0.5164503052 0.545174333
CEMW/tmt_unsym 917825 917825 4584801 1.20807895 1.222259861 1.23685714969 1.414049019
VLSI/vas_stokes_1M 1090664 1090664 34767207 2.354229106 2.4113256815 2.42238447433 2.612293443
