matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4995137 1.400308504 1.4471920645 1.44702979712 1.474938864
sprand_sdd!/1e7 10000000 10000000 49984150 15.319798484 15.757684672 15.76470396751 16.190539443
Bourchtein/atmosmodd 1270432 1270432 8814880 1.858489128 1.905066031 1.91403438096 2.078085646
Sandia/ASIC_680ks 682712 682712 2329176 0.840363853 0.881344182 0.87666844694 0.95877748
Freescale/circuit5M_dc 3523317 3523317 19194193 5.339893278 5.5419635195 5.5422141344 5.684863205
Janna/CoupCons3D 416800 416800 22322336 1.00855541 1.1337018715 1.14028112265 1.238412401
Fluorem/RM07R 381689 381689 37464962 1.34934509 1.433390754 1.4349813854000002 1.548683655
Martin/marine1 400320 400320 6226538 0.563966649 0.5970407295 0.6057897828400001 0.639639279
CEMW/tmt_unsym 917825 917825 4584801 1.231159461 1.275308874 1.27482230465 1.356797076
VLSI/vas_stokes_1M 1090664 1090664 34767207 3.367115642 3.427885148 3.43830320422 3.776087033
