matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4995000 1.32469622 1.3504764025 1.36902661508 1.733045806
sprand_sdd!/1e7 10000000 10000000 49984369 13.448006322 14.3337099585 14.2779133312 14.759777374
Bourchtein/atmosmodd 1270432 1270432 8814880 1.705686883 1.808165539 1.80665685652 1.919219528
Sandia/ASIC_680ks 682712 682712 2329176 0.79424059 0.8207865485 0.8427080967999999 1.298102076
Freescale/circuit5M_dc 3523317 3523317 19194193 4.759438302 4.8960722075 4.89554044346 5.101983669
Janna/CoupCons3D 416800 416800 22322336 0.816691548 0.886125472 0.90459953736 1.271810779
Fluorem/RM07R 381689 381689 37464962 0.891453656 0.9729118405 0.98950313583 1.255921107
Martin/marine1 400320 400320 6226538 0.499563001 0.508554388 0.51081256637 0.561827363
CEMW/tmt_unsym 917825 917825 4584801 1.182582103 1.2357258935 1.24052127886 1.362722875
VLSI/vas_stokes_1M 1090664 1090664 34767207 2.003305092 2.0821001405 2.09515229255 2.384410314
