nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 0.124705958 0.1254996885 0.12555716027799999 0.127680206
2 10000000 10000000 49984105 0.075207461 0.0757537995 0.075820157744 0.077993826
3 10000000 10000000 49984105 0.06213851 0.0629521935 0.064378101118 0.100726567
4 10000000 10000000 49984105 0.056577925 0.0570303315 0.057487720240000005 0.090502088
5 10000000 10000000 49984105 0.049746087 0.050373225 0.051578098898000004 0.094171933
6 10000000 10000000 49984105 0.048116018 0.0485019725 0.050372176218999996 0.074363418
7 10000000 10000000 49984105 0.045540653 0.045883898 0.047334583841 0.079248469
8 10000000 10000000 49984105 0.045350208 0.046023116 0.047286550111000004 0.07832128
9 10000000 10000000 49984105 0.044678858 0.0453834525 0.046424379526 0.08066168
10 10000000 10000000 49984105 0.044401722 0.0446843785 0.045780384808 0.072236846
11 10000000 10000000 49984105 0.046730617 0.0471910125 0.049005286174999996 0.071993228
12 10000000 10000000 49984105 0.045919039 0.0465224665 0.047078448594 0.065380061
13 10000000 10000000 49984105 0.044507631 0.0458394035 0.046261574177 0.076663234
14 10000000 10000000 49984105 0.044509047 0.045034737 0.046247041273 0.065829159
15 10000000 10000000 49984105 0.044876211 0.045499032 0.045951273853 0.064146954
16 10000000 10000000 49984105 0.045417137 0.0461542995 0.046942950998000006 0.064061703
17 10000000 10000000 49984105 0.045304061 0.0456367835 0.046297018805 0.076943967
18 10000000 10000000 49984105 0.046558329 0.046825549 0.047499162987 0.075694372
19 10000000 10000000 49984105 0.044607926 0.045128063 0.045744164883 0.066801041
20 10000000 10000000 49984105 0.045495619 0.0459322105 0.046588240349 0.074526637
21 10000000 10000000 49984105 0.044531409 0.0450758295 0.045861659626 0.076842859
22 10000000 10000000 49984105 0.046202626 0.0466006945 0.047226635482 0.079640476
23 10000000 10000000 49984105 0.044525737 0.044775797 0.045491104020000006 0.070879738
24 10000000 10000000 49984105 0.044808207 0.045112004 0.045906284218000006 0.08554545
25 10000000 10000000 49984105 0.044245329 0.0446623995 0.045443121625 0.076802773
26 10000000 10000000 49984105 0.044534707 0.044937102 0.045602328222000006 0.076372432
27 10000000 10000000 49984105 0.044512681 0.045585216 0.045919697653 0.080846291
28 10000000 10000000 49984105 0.044697567 0.045066883 0.045802441506 0.076809458
29 10000000 10000000 49984105 0.044153988 0.045152754 0.045507220207 0.069822991
30 10000000 10000000 49984105 0.044478336 0.04481066 0.045853890946 0.073145363
31 10000000 10000000 49984105 0.044656256 0.0450830365 0.045745395387 0.072323716
32 10000000 10000000 49984105 0.044504472 0.0448323425 0.045563823494999996 0.0823296
33 10000000 10000000 49984105 0.044730369 0.0451855705 0.045987265329 0.065118407
34 10000000 10000000 49984105 0.044599282 0.0450213675 0.045970502792000004 0.070572352
35 10000000 10000000 49984105 0.044633588 0.0449512965 0.045598968255999996 0.072537752
36 10000000 10000000 49984105 0.046418011 0.0467564195 0.047937652920999996 0.079251936
37 10000000 10000000 49984105 0.046405253 0.046913002 0.047337447976 0.073536417
38 10000000 10000000 49984105 0.044669657 0.0453798685 0.046444912044 0.072656077
39 10000000 10000000 49984105 0.044526285 0.044933062 0.045723126986 0.076829077
40 10000000 10000000 49984105 0.044635811 0.045931766 0.046270321797 0.074492881
41 10000000 10000000 49984105 0.045744643 0.0460731885 0.046802870707000004 0.075902507
42 10000000 10000000 49984105 0.045328578 0.0458308065 0.046414384427 0.073740786
43 10000000 10000000 49984105 0.04451237 0.045117068 0.046932699309 0.082378484
44 10000000 10000000 49984105 0.044473076 0.0448169815 0.04567846477 0.078148254
45 10000000 10000000 49984105 0.044407296 0.044765193 0.045961806139 0.065323246
46 10000000 10000000 49984105 0.045571376 0.045977339 0.046449306189000006 0.068237918
47 10000000 10000000 49984105 0.044635355 0.0450761095 0.04582243597 0.077111294
48 10000000 10000000 49984105 0.044755992 0.045205142 0.045833987039999996 0.062259194
